Time,Region,Interruptions,Customers without electricity
Thu Apr  6 16:26:10 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:26:11 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:26:13 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:26:14 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:26:15 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:26:52 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:30:31 2023,Across Québec,2 918,944 561 customers out of 4 538 535
Thu Apr  6 16:40:03 2023,Across QuÃ©bec,2 945,933 887 customers out of 4 538 535
"{0: 'Thu Apr  6 16:42:51 2023', 1: 'Thu Apr  6 16:42:51 2023', 2: 'Thu Apr  6 16:42:51 2023', 3: 'Thu Apr  6 16:42:51 2023', 4: 'Thu Apr  6 16:42:51 2023', 5: 'Thu Apr  6 16:42:51 2023', 6: 'Thu Apr  6 16:42:51 2023', 7: 'Thu Apr  6 16:42:51 2023', 8: 'Thu Apr  6 16:42:51 2023', 9: 'Thu Apr  6 16:42:51 2023', 10: 'Thu Apr  6 16:42:51 2023', 11: 'Thu Apr  6 16:42:51 2023', 12: 'Thu Apr  6 16:42:51 2023', 13: 'Thu Apr  6 16:42:51 2023', 14: 'Thu Apr  6 16:42:51 2023', 15: 'Thu Apr  6 16:42:51 2023', 16: 'Thu Apr  6 16:42:51 2023', 17: 'Thu Apr  6 16:42:51 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '0', 3: '45', 4: '3', 5: '0', 6: '25', 7: '0', 8: '257', 9: '370', 10: '216', 11: '0', 12: '782', 13: '751', 14: '1', 15: '494', 16: '0', 17: '2 945'}","{0: '202 customers out of 83 381', 1: '0 customer out of 125 793', 2: '0 customer out of 439 419', 3: '1 216 customers out of 145 681', 4: '1 235 customers out of 254 670', 5: '0 customer out of 48 903', 6: '385 customers out of 190 082', 7: '0 customer out of 58 521', 8: '58 822 customers out of 267 695', 9: '88 281 customers out of 367 064', 10: '102 049 customers out of 198 465', 11: '0 customer out of 169 801', 12: '454 217 customers out of 1 084 521', 13: '132 278 customers out of 720 328', 14: '7 customers out of 23 083', 15: '95 195 customers out of 226 921', 16: '0 customer out of 134 207', 17: '933 887 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 17:12:52 2023', 1: 'Thu Apr  6 17:12:52 2023', 2: 'Thu Apr  6 17:12:52 2023', 3: 'Thu Apr  6 17:12:52 2023', 4: 'Thu Apr  6 17:12:52 2023', 5: 'Thu Apr  6 17:12:52 2023', 6: 'Thu Apr  6 17:12:52 2023', 7: 'Thu Apr  6 17:12:52 2023', 8: 'Thu Apr  6 17:12:52 2023', 9: 'Thu Apr  6 17:12:52 2023', 10: 'Thu Apr  6 17:12:52 2023', 11: 'Thu Apr  6 17:12:52 2023', 12: 'Thu Apr  6 17:12:52 2023', 13: 'Thu Apr  6 17:12:52 2023', 14: 'Thu Apr  6 17:12:52 2023', 15: 'Thu Apr  6 17:12:52 2023', 16: 'Thu Apr  6 17:12:52 2023', 17: 'Thu Apr  6 17:12:52 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '0', 3: '40', 4: '3', 5: '0', 6: '24', 7: '0', 8: '267', 9: '376', 10: '220', 11: '0', 12: '794', 13: '770', 14: '1', 15: '525', 16: '0', 17: '3 021'}","{0: '202 customers out of 83 381', 1: '0 customer out of 125 793', 2: '0 customer out of 439 419', 3: '1 020 customers out of 145 681', 4: '1 235 customers out of 254 670', 5: '0 customer out of 48 903', 6: '378 customers out of 190 082', 7: '0 customer out of 58 521', 8: '53 897 customers out of 267 695', 9: '86 327 customers out of 367 064', 10: '101 410 customers out of 198 465', 11: '0 customer out of 169 801', 12: '448 379 customers out of 1 084 521', 13: '123 971 customers out of 720 328', 14: '7 customers out of 23 083', 15: '86 595 customers out of 226 921', 16: '0 customer out of 134 207', 17: '903 421 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 17:42:52 2023', 1: 'Thu Apr  6 17:42:52 2023', 2: 'Thu Apr  6 17:42:52 2023', 3: 'Thu Apr  6 17:42:52 2023', 4: 'Thu Apr  6 17:42:52 2023', 5: 'Thu Apr  6 17:42:52 2023', 6: 'Thu Apr  6 17:42:52 2023', 7: 'Thu Apr  6 17:42:52 2023', 8: 'Thu Apr  6 17:42:52 2023', 9: 'Thu Apr  6 17:42:52 2023', 10: 'Thu Apr  6 17:42:52 2023', 11: 'Thu Apr  6 17:42:52 2023', 12: 'Thu Apr  6 17:42:52 2023', 13: 'Thu Apr  6 17:42:52 2023', 14: 'Thu Apr  6 17:42:52 2023', 15: 'Thu Apr  6 17:42:52 2023', 16: 'Thu Apr  6 17:42:52 2023', 17: 'Thu Apr  6 17:42:52 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '0', 3: '39', 4: '1', 5: '0', 6: '20', 7: '0', 8: '273', 9: '380', 10: '228', 11: '0', 12: '814', 13: '762', 14: '1', 15: '533', 16: '0', 17: '3 052'}","{0: '202 customers out of 83 381', 1: '0 customer out of 125 793', 2: '0 customer out of 439 419', 3: '1 802 customers out of 145 681', 4: '9 customers out of 254 670', 5: '0 customer out of 48 903', 6: '374 customers out of 190 082', 7: '0 customer out of 58 521', 8: '50 635 customers out of 267 695', 9: '82 341 customers out of 367 064', 10: '101 686 customers out of 198 465', 11: '0 customer out of 169 801', 12: '436 250 customers out of 1 084 521', 13: '121 380 customers out of 720 328', 14: '7 customers out of 23 083', 15: '85 791 customers out of 226 921', 16: '0 customer out of 134 207', 17: '880 477 customers out of 4 538 535'}"
